match_id,year,match_date,match,prediction_type,actual_result,hit,predicted_score,home_probability,draw_probability,away_probability,confidence_score,upset_probability,odds,return_units,roi
353,2022,2022-11-27T16:00:00,Belgium vs Morocco,Home Win,Away Win,False,1-0,47.27,24.88,27.85,47.27,52.73,1.88,0.0,-100.0
354,2022,2022-11-27T19:00:00,Croatia vs Canada,Home Win,Home Win,True,1-0,48.2,28.28,23.52,48.2,51.8,2.17,2.17,117.0
348,2022,2022-11-27T22:00:00,Spain vs Germany,Away Win,Draw,False,1-3,32.46,29.97,37.57,37.57,67.54,2.84,0.0,-100.0
359,2022,2022-11-28T13:00:00,Cameroon vs Serbia,Draw,Draw,True,0-0,28.74,30.92,40.35,30.92,59.65,3.84,3.84,284.0
365,2022,2022-11-28T16:00:00,South Korea vs Ghana,Away Win,Away Win,True,1-2,33.47,27.51,39.03,39.03,66.53,2.82,2.82,182.0
360,2022,2022-11-28T19:00:00,Brazil vs Switzerland,Home Win,Home Win,True,3-1,51.81,22.38,25.8,51.81,48.19,1.49,1.49,49.0
366,2022,2022-11-28T22:00:00,Portugal vs Uruguay,Draw,Home Win,False,1-1,36.69,30.44,32.88,30.44,63.31,3.37,0.0,-100.0
325,2022,2022-11-29T18:00:00,Ecuador vs Senegal,Away Win,Away Win,True,0-1,34.83,28.9,36.26,36.26,65.17,3.31,3.31,231.0
326,2022,2022-11-29T18:00:00,Netherlands vs Qatar,Home Win,Home Win,True,3-0,63.04,19.1,17.86,63.04,36.96,1.2,1.2,20.0
331,2022,2022-11-29T22:00:00,Wales vs England,Away Win,Away Win,True,0-1,26.21,28.35,45.43,45.43,54.57,1.43,1.43,43.0
332,2022,2022-11-29T22:00:00,Iran vs USA,Draw,Away Win,False,1-1,29.74,31.6,38.66,31.6,61.34,3.49,0.0,-100.0
343,2022,2022-11-30T18:00:00,Australia vs Denmark,Away Win,Home Win,False,0-2,28.35,26.54,45.11,45.11,54.89,1.45,0.0,-100.0
344,2022,2022-11-30T18:00:00,Tunisia vs France,Away Win,Home Win,False,1-2,20.96,21.27,57.77,57.77,42.23,1.6,0.0,-100.0
337,2022,2022-11-30T22:00:00,Poland vs Argentina,Away Win,Away Win,True,0-2,29.84,24.77,45.39,45.39,54.61,1.45,1.45,45.0
338,2022,2022-11-30T22:00:00,Saudi Arabia vs Mexico,Away Win,Away Win,True,0-2,28.06,23.92,48.02,48.02,51.98,1.63,1.63,63.0
355,2022,2022-12-01T18:00:00,Croatia vs Belgium,Home Win,Draw,False,2-1,35.98,28.91,35.11,35.98,64.89,3.08,0.0,-100.0
356,2022,2022-12-01T18:00:00,Canada vs Morocco,Draw,Away Win,False,0-0,26.47,30.45,43.08,30.45,56.92,3.49,0.0,-100.0
349,2022,2022-12-01T22:00:00,Japan vs Spain,Away Win,Home Win,False,1-2,26.35,24.23,49.42,49.42,50.58,1.47,0.0,-100.0
350,2022,2022-12-01T22:00:00,Costa Rica vs Germany,Away Win,Away Win,True,0-2,23.81,22.64,53.55,53.55,46.45,1.09,1.09,9.0
367,2022,2022-12-02T18:00:00,Ghana vs Uruguay,Away Win,Away Win,True,0-2,31.64,27.34,41.02,41.02,58.98,1.83,1.83,83.0
368,2022,2022-12-02T18:00:00,South Korea vs Portugal,Away Win,Home Win,False,1-3,25.82,23.45,50.73,50.73,49.27,1.83,0.0,-100.0
361,2022,2022-12-02T22:00:00,Serbia vs Switzerland,Away Win,Away Win,True,0-2,32.25,29.39,38.36,38.36,67.75,2.82,2.82,182.0
362,2022,2022-12-02T22:00:00,Cameroon vs Brazil,Away Win,Home Win,False,1-2,18.67,20.4,60.93,60.93,39.07,1.37,0.0,-100.0
369,2022,2022-12-03T18:00:00,Netherlands vs USA,Home Win,Home Win,True,1-0,52.57,24.89,22.54,52.57,47.43,1.91,1.91,91.0
370,2022,2022-12-03T22:00:00,Argentina vs Australia,Home Win,Home Win,True,2-1,52.6,23.28,24.12,52.6,47.4,1.3,1.3,30.0
371,2022,2022-12-04T18:00:00,France vs Poland,Home Win,Home Win,True,2-1,50.03,24.37,25.61,50.03,49.97,1.39,1.39,39.0
372,2022,2022-12-04T22:00:00,England vs Senegal,Home Win,Home Win,True,2-1,42.03,28.72,29.25,42.03,57.97,1.62,1.62,62.0
373,2022,2022-12-05T18:00:00,Japan vs Croatia,Away Win,Draw,False,0-2,28.01,28.85,43.14,43.14,56.86,2.11,0.0,-100.0
374,2022,2022-12-05T22:00:00,Brazil vs South Korea,Home Win,Home Win,True,2-1,55.27,23.53,21.19,55.27,44.73,1.23,1.23,23.0
375,2022,2022-12-06T18:00:00,Morocco vs Spain,Away Win,Draw,False,1-2,28.82,26.11,45.07,45.07,54.93,1.63,0.0,-100.0
376,2022,2022-12-06T22:00:00,Portugal vs Switzerland,Home Win,Home Win,True,4-2,39.63,29.09,31.27,39.63,60.37,1.88,1.88,88.0
377,2022,2022-12-09T18:00:00,Croatia vs Brazil,Away Win,Draw,False,1-2,27.83,26.35,45.82,45.82,54.18,1.41,0.0,-100.0
378,2022,2022-12-09T22:00:00,Netherlands vs Argentina,Draw,Draw,True,1-1,40.53,30.81,28.66,30.81,71.34,3.15,3.15,215.0
379,2022,2022-12-10T18:00:00,Morocco vs Portugal,Away Win,Home Win,False,1-2,28.24,28.38,43.38,43.38,56.62,1.63,0.0,-100.0
380,2022,2022-12-10T22:00:00,England vs France,Draw,Away Win,False,2-2,31.57,32.23,36.2,32.23,63.8,3.14,0.0,-100.0
381,2022,2022-12-13T22:00:00,Argentina vs Croatia,Home Win,Home Win,True,2-1,39.01,29.47,31.53,39.01,60.99,2.0,2.0,100.0
382,2022,2022-12-14T22:00:00,France vs Morocco,Home Win,Home Win,True,2-0,49.4,25.45,25.15,49.4,50.6,1.6,1.6,60.0
383,2022,2022-12-17T18:00:00,Croatia vs Morocco,Draw,Home Win,False,0-0,37.45,31.38,31.17,31.38,62.55,3.58,0.0,-100.0
384,2022,2022-12-18T18:00:00,Argentina vs France,Draw,Draw,True,3-3,31.19,31.24,37.57,31.24,68.81,3.14,3.14,214.0
