condition_id,condition,match_id,year,match,actual_result,predicted_result,is_actual_draw,draw_probability,win_probability_gap,predicted_total_goals,upset_probability
C02,Draw Probability >= 27%,351,2022,Morocco vs Croatia,Draw,Away Win,True,28.14,15.77,2,56.1
C02,Draw Probability >= 27%,329,2022,Wales vs Iran,Away Win,Draw,False,32.92,8.14,0,58.94
C02,Draw Probability >= 27%,323,2022,Qatar vs Senegal,Away Win,Away Win,False,27.78,17.24,1,54.99
C02,Draw Probability >= 27%,341,2022,Tunisia vs Australia,Away Win,Home Win,False,29.63,7.85,3,62.52
C02,Draw Probability >= 27%,347,2022,Japan vs Costa Rica,Away Win,Draw,False,30.2,7.34,2,62.47
C02,Draw Probability >= 27%,354,2022,Croatia vs Canada,Home Win,Home Win,False,28.28,19.93,1,51.8
C02,Draw Probability >= 27%,348,2022,Spain vs Germany,Draw,Away Win,True,29.97,7.6,4,67.54
C02,Draw Probability >= 27%,359,2022,Cameroon vs Serbia,Draw,Draw,True,30.92,9.43,0,59.65
C02,Draw Probability >= 27%,365,2022,South Korea vs Ghana,Away Win,Away Win,False,27.51,11.52,3,66.53
C02,Draw Probability >= 27%,366,2022,Portugal vs Uruguay,Home Win,Draw,False,30.44,6.25,2,63.31
C02,Draw Probability >= 27%,325,2022,Ecuador vs Senegal,Away Win,Away Win,False,28.9,7.36,1,65.17
C02,Draw Probability >= 27%,331,2022,Wales vs England,Away Win,Away Win,False,28.35,17.08,1,54.57
C02,Draw Probability >= 27%,332,2022,Iran vs USA,Away Win,Draw,False,31.6,7.06,2,61.34
C02,Draw Probability >= 27%,355,2022,Croatia vs Belgium,Draw,Home Win,True,28.91,7.06,3,64.89
C02,Draw Probability >= 27%,356,2022,Canada vs Morocco,Away Win,Draw,False,30.45,12.62,0,56.92
C02,Draw Probability >= 27%,367,2022,Ghana vs Uruguay,Away Win,Away Win,False,27.34,13.68,2,58.98
C02,Draw Probability >= 27%,361,2022,Serbia vs Switzerland,Away Win,Away Win,False,29.39,8.97,2,67.75
C02,Draw Probability >= 27%,372,2022,England vs Senegal,Home Win,Home Win,False,28.72,13.32,3,57.97
C02,Draw Probability >= 27%,373,2022,Japan vs Croatia,Draw,Away Win,True,28.85,14.29,2,56.86
C02,Draw Probability >= 27%,376,2022,Portugal vs Switzerland,Home Win,Home Win,False,29.09,10.54,6,60.37
C02,Draw Probability >= 27%,378,2022,Netherlands vs Argentina,Draw,Draw,True,30.81,9.71,2,71.34
C02,Draw Probability >= 27%,379,2022,Morocco vs Portugal,Home Win,Away Win,False,28.38,15.0,3,56.62
C02,Draw Probability >= 27%,380,2022,England vs France,Away Win,Draw,False,32.23,3.97,4,63.8
C02,Draw Probability >= 27%,381,2022,Argentina vs Croatia,Home Win,Home Win,False,29.47,9.54,3,60.99
C02,Draw Probability >= 27%,383,2022,Croatia vs Morocco,Home Win,Draw,False,31.38,6.08,0,62.55
C02,Draw Probability >= 27%,384,2022,Argentina vs France,Draw,Draw,True,31.24,6.33,6,68.81
C03,Draw Probability >= 30%,263,2018,Morocco vs Iran,Away Win,Draw,False,31.23,8.83,2,59.94
C03,Draw Probability >= 30%,281,2018,Costa Rica vs Serbia,Away Win,Draw,False,30.23,5.52,2,65.99
C03,Draw Probability >= 30%,284,2018,Serbia vs Switzerland,Away Win,Draw,False,31.74,3.5,0,64.77
C03,Draw Probability >= 30%,280,2018,Iceland vs Croatia,Away Win,Draw,False,30.28,13.62,2,56.1
C03,Draw Probability >= 30%,305,2018,France vs Argentina,Home Win,Draw,False,33.75,0.01,2,66.24
C03,Draw Probability >= 30%,306,2018,Uruguay vs Portugal,Home Win,Draw,False,30.01,8.04,4,61.95
C03,Draw Probability >= 30%,308,2018,Croatia vs Denmark,Draw,Draw,True,30.75,6.47,2,62.77
C03,Draw Probability >= 30%,312,2018,Colombia vs England,Draw,Draw,True,31.88,3.79,2,64.33
C03,Draw Probability >= 30%,315,2018,Sweden vs England,Away Win,Draw,False,30.54,5.53,2,63.93
C03,Draw Probability >= 30%,317,2018,France vs Belgium,Home Win,Draw,False,31.32,8.03,2,60.65
C03,Draw Probability >= 30%,318,2018,Croatia vs England,Draw,Draw,True,30.77,5.37,2,63.86
C03,Draw Probability >= 30%,321,2022,Qatar vs Ecuador,Away Win,Draw,False,31.02,3.56,2,65.43
C03,Draw Probability >= 30%,328,2022,USA vs Wales,Draw,Draw,True,34.58,-0.32,0,68.83
C03,Draw Probability >= 30%,329,2022,Wales vs Iran,Away Win,Draw,False,32.92,8.14,0,58.94
C03,Draw Probability >= 30%,347,2022,Japan vs Costa Rica,Away Win,Draw,False,30.2,7.34,2,62.47
C03,Draw Probability >= 30%,359,2022,Cameroon vs Serbia,Draw,Draw,True,30.92,9.43,0,59.65
C03,Draw Probability >= 30%,366,2022,Portugal vs Uruguay,Home Win,Draw,False,30.44,6.25,2,63.31
C03,Draw Probability >= 30%,332,2022,Iran vs USA,Away Win,Draw,False,31.6,7.06,2,61.34
C03,Draw Probability >= 30%,356,2022,Canada vs Morocco,Away Win,Draw,False,30.45,12.62,0,56.92
C03,Draw Probability >= 30%,378,2022,Netherlands vs Argentina,Draw,Draw,True,30.81,9.71,2,71.34
C03,Draw Probability >= 30%,380,2022,England vs France,Away Win,Draw,False,32.23,3.97,4,63.8
C03,Draw Probability >= 30%,383,2022,Croatia vs Morocco,Home Win,Draw,False,31.38,6.08,0,62.55
C03,Draw Probability >= 30%,384,2022,Argentina vs France,Draw,Draw,True,31.24,6.33,6,68.81
C04,Win Probability Gap <= 5%,284,2018,Serbia vs Switzerland,Away Win,Draw,False,31.74,3.5,0,64.77
C04,Win Probability Gap <= 5%,305,2018,France vs Argentina,Home Win,Draw,False,33.75,0.01,2,66.24
C04,Win Probability Gap <= 5%,312,2018,Colombia vs England,Draw,Draw,True,31.88,3.79,2,64.33
C04,Win Probability Gap <= 5%,321,2022,Qatar vs Ecuador,Away Win,Draw,False,31.02,3.56,2,65.43
C04,Win Probability Gap <= 5%,328,2022,USA vs Wales,Draw,Draw,True,34.58,-0.32,0,68.83
C04,Win Probability Gap <= 5%,380,2022,England vs France,Away Win,Draw,False,32.23,3.97,4,63.8
